County/Area,Claim Type,Month,Yr,Date,Claims,Last month claims,Last year claims,Month net change,Year net change,,,
PACIFIC,Continued claims,2,2005,2/1/05,250,387,,-137,,,,
PEND OREILLE,Continued claims,2,2005,2/1/05,191,225,,-34,,,,
PIERCE,Continued claims,2,2005,2/1/05,8789,10160,,-1371,,,,
SAN JUAN,Continued claims,2,2005,2/1/05,143,186,,-43,,,,
SKAGIT,Continued claims,2,2005,2/1/05,1609,2137,,-528,,,,
SKAMANIA,Continued claims,2,2005,2/1/05,193,219,,-26,,,,
SNOHOMISH,Continued claims,2,2005,2/1/05,8203,9609,,-1406,,,,
SPOKANE,Continued claims,2,2005,2/1/05,6481,7653,,-1172,,,,
STEVENS,Continued claims,2,2005,2/1/05,891,967,,-76,,,,
THURSTON,Continued claims,2,2005,2/1/05,2391,2812,,-421,,,,
WAHKIAKUM,Continued claims,2,2005,2/1/05,38,55,,-17,,,,
WALLA WALLA,Continued claims,2,2005,2/1/05,763,948,,-185,,,,
WHATCOM,Continued claims,2,2005,2/1/05,2209,2736,,-527,,,,
WHITMAN,Continued claims,2,2005,2/1/05,181,190,,-9,,,,
YAKIMA,Continued claims,2,2005,2/1/05,5933,7516,,-1583,,,,
ADAMS,Initial claims,2,2005,2/1/05,168,151,,17,,,,
ASOTIN,Initial claims,2,2005,2/1/05,60,75,,-15,,,,
BENTON,Initial claims,2,2005,2/1/05,607,1059,,-452,,,,
CHELAN,Initial claims,2,2005,2/1/05,434,844,,-410,,,,
CLALLAM,Initial claims,2,2005,2/1/05,235,517,,-282,,,,
CLARK,Initial claims,2,2005,2/1/05,1201,1746,,-545,,,,
COLUMBIA,Initial claims,2,2005,2/1/05,13,28,,-15,,,,
COWLITZ,Initial claims,2,2005,2/1/05,446,661,,-215,,,,
DOUGLAS,Initial claims,2,2005,2/1/05,188,336,,-148,,,,
FERRY,Initial claims,2,2005,2/1/05,42,46,,-4,,,,
FRANKLIN,Initial claims,2,2005,2/1/05,443,480,,-37,,,,
GARFIELD,Initial claims,2,2005,2/1/05,6,9,,-3,,,,
GRANT,Initial claims,2,2005,2/1/05,511,706,,-195,,,,
GRAYS HARBOR,Initial claims,2,2005,2/1/05,448,573,,-125,,,,
ISLAND,Initial claims,2,2005,2/1/05,185,262,,-77,,,,
JEFFERSON,Initial claims,2,2005,2/1/05,82,132,,-50,,,,
KING,Initial claims,2,2005,2/1/05,6218,8016,,-1798,,,,
KITSAP,Initial claims,2,2005,2/1/05,741,927,,-186,,,,
KITTITAS,Initial claims,2,2005,2/1/05,164,299,,-135,,,,
KLICKITAT,Initial claims,2,2005,2/1/05,105,168,,-63,,,,
LEWIS,Initial claims,2,2005,2/1/05,402,567,,-165,,,,
LINCOLN,Initial claims,2,2005,2/1/05,27,48,,-21,,,,
MASON,Initial claims,2,2005,2/1/05,248,346,,-98,,,,
OKANOGAN,Initial claims,2,2005,2/1/05,264,459,,-195,,,,
PACIFIC,Initial claims,2,2005,2/1/05,94,116,,-22,,,,
PEND OREILLE,Initial claims,2,2005,2/1/05,53,100,,-47,,,,
PIERCE,Initial claims,2,2005,2/1/05,3118,4371,,-1253,,,,
SAN JUAN,Initial claims,2,2005,2/1/05,41,85,,-44,,,,
SKAGIT,Initial claims,2,2005,2/1/05,545,787,,-242,,,,
SKAMANIA,Initial claims,2,2005,2/1/05,49,110,,-61,,,,
SNOHOMISH,Initial claims,2,2005,2/1/05,2778,3812,,-1034,,,,
SPOKANE,Initial claims,2,2005,2/1/05,1861,3049,,-1188,,,,
STEVENS,Initial claims,2,2005,2/1/05,221,364,,-143,,,,
THURSTON,Initial claims,2,2005,2/1/05,841,1169,,-328,,,,
WAHKIAKUM,Initial claims,2,2005,2/1/05,12,14,,-2,,,,
WALLA WALLA,Initial claims,2,2005,2/1/05,165,272,,-107,,,,
WHATCOM,Initial claims,2,2005,2/1/05,726,1220,,-494,,,,
WHITMAN,Initial claims,2,2005,2/1/05,58,81,,-23,,,,
YAKIMA,Initial claims,2,2005,2/1/05,1629,2417,,-788,,,,
WASHINGTON STATE,Initial claims,2,2005,2/1/05,35038,52425,,-17387,,,,
WASHINGTON STATE,Continued claims,2,2005,2/1/05,80418,96511,,-16093,,,,
ADAMS,Continued claims,3,2005,3/1/05,326,509,,-183,,,,
ASOTIN,Continued claims,3,2005,3/1/05,188,211,,-23,,,,
BENTON,Continued claims,3,2005,3/1/05,1689,2038,,-349,,,,
CHELAN,Continued claims,3,2005,3/1/05,1468,1690,,-222,,,,
CLALLAM,Continued claims,3,2005,3/1/05,751,819,,-68,,,,
CLARK,Continued claims,3,2005,3/1/05,3398,3619,,-221,,,,
COLUMBIA,Continued claims,3,2005,3/1/05,59,64,,-5,,,,
COWLITZ,Continued claims,3,2005,3/1/05,1313,1389,,-76,,,,
DOUGLAS,Continued claims,3,2005,3/1/05,614,712,,-98,,,,
FERRY,Continued claims,3,2005,3/1/05,161,153,,8,,,,
FRANKLIN,Continued claims,3,2005,3/1/05,1056,1409,,-353,,,,
GARFIELD,Continued claims,3,2005,3/1/05,19,17,,2,,,,
GRANT,Continued claims,3,2005,3/1/05,1646,2072,,-426,,,,
GRAYS HARBOR,Continued claims,3,2005,3/1/05,1224,1150,,74,,,,
ISLAND,Continued claims,3,2005,3/1/05,489,526,,-37,,,,
JEFFERSON,Continued claims,3,2005,3/1/05,258,300,,-42,,,,
KING,Continued claims,3,2005,3/1/05,18572,19353,,-781,,,,
KITSAP,Continued claims,3,2005,3/1/05,1852,2003,,-151,,,,
KITTITAS,Continued claims,3,2005,3/1/05,557,663,,-106,,,,
KLICKITAT,Continued claims,3,2005,3/1/05,350,440,,-90,,,,
LEWIS,Continued claims,3,2005,3/1/05,1114,1173,,-59,,,,
LINCOLN,Continued claims,3,2005,3/1/05,95,118,,-23,,,,
MASON,Continued claims,3,2005,3/1/05,608,682,,-74,,,,
OKANOGAN,Continued claims,3,2005,3/1/05,935,1034,,-99,,,,
PACIFIC,Continued claims,3,2005,3/1/05,257,250,,7,,,,
PEND OREILLE,Continued claims,3,2005,3/1/05,189,191,,-2,,,,
PIERCE,Continued claims,3,2005,3/1/05,8482,8789,,-307,,,,
SAN JUAN,Continued claims,3,2005,3/1/05,118,143,,-25,,,,
SKAGIT,Continued claims,3,2005,3/1/05,1513,1609,,-96,,,,
SKAMANIA,Continued claims,3,2005,3/1/05,167,193,,-26,,,,
SNOHOMISH,Continued claims,3,2005,3/1/05,7720,8203,,-483,,,,
SPOKANE,Continued claims,3,2005,3/1/05,5469,6481,,-1012,,,,
STEVENS,Continued claims,3,2005,3/1/05,848,891,,-43,,,,
THURSTON,Continued claims,3,2005,3/1/05,2257,2391,,-134,,,,
WAHKIAKUM,Continued claims,3,2005,3/1/05,36,38,,-2,,,,
WALLA WALLA,Continued claims,3,2005,3/1/05,703,763,,-60,,,,
WHATCOM,Continued claims,3,2005,3/1/05,2069,2209,,-140,,,,
WHITMAN,Continued claims,3,2005,3/1/05,167,181,,-14,,,,
YAKIMA,Continued claims,3,2005,3/1/05,5210,5933,,-723,,,,
ADAMS,Initial claims,3,2005,3/1/05,84,168,,-84,,,,
ASOTIN,Initial claims,3,2005,3/1/05,72,60,,12,,,,
BENTON,Initial claims,3,2005,3/1/05,626,607,,19,,,,
CHELAN,Initial claims,3,2005,3/1/05,544,434,,110,,,,
CLALLAM,Initial claims,3,2005,3/1/05,286,235,,51,,,,
CLARK,Initial claims,3,2005,3/1/05,1294,1201,,93,,,,
COLUMBIA,Initial claims,3,2005,3/1/05,16,13,,3,,,,
COWLITZ,Initial claims,3,2005,3/1/05,587,446,,141,,,,
DOUGLAS,Initial claims,3,2005,3/1/05,204,188,,16,,,,
FERRY,Initial claims,3,2005,3/1/05,48,42,,6,,,,
FRANKLIN,Initial claims,3,2005,3/1/05,324,443,,-119,,,,
GARFIELD,Initial claims,3,2005,3/1/05,4,6,,-2,,,,
GRANT,Initial claims,3,2005,3/1/05,424,511,,-87,,,,
GRAYS HARBOR,Initial claims,3,2005,3/1/05,582,448,,134,,,,
ISLAND,Initial claims,3,2005,3/1/05,200,185,,15,,,,
JEFFERSON,Initial claims,3,2005,3/1/05,88,82,,6,,,,
KING,Initial claims,3,2005,3/1/05,6902,6218,,684,,,,
KITSAP,Initial claims,3,2005,3/1/05,755,741,,14,,,,
KITTITAS,Initial claims,3,2005,3/1/05,154,164,,-10,,,,
KLICKITAT,Initial claims,3,2005,3/1/05,120,105,,15,,,,
LEWIS,Initial claims,3,2005,3/1/05,409,402,,7,,,,
LINCOLN,Initial claims,3,2005,3/1/05,33,27,,6,,,,
MASON,Initial claims,3,2005,3/1/05,220,248,,-28,,,,
OKANOGAN,Initial claims,3,2005,3/1/05,321,264,,57,,,,
PACIFIC,Initial claims,3,2005,3/1/05,127,94,,33,,,,
PEND OREILLE,Initial claims,3,2005,3/1/05,57,53,,4,,,,
PIERCE,Initial claims,3,2005,3/1/05,3570,3118,,452,,,,
SAN JUAN,Initial claims,3,2005,3/1/05,32,41,,-9,,,,
SKAGIT,Initial claims,3,2005,3/1/05,592,545,,47,,,,
SKAMANIA,Initial claims,3,2005,3/1/05,55,49,,6,,,,
SNOHOMISH,Initial claims,3,2005,3/1/05,2935,2778,,157,,,,
SPOKANE,Initial claims,3,2005,3/1/05,1745,1861,,-116,,,,
STEVENS,Initial claims,3,2005,3/1/05,286,221,,65,,,,
THURSTON,Initial claims,3,2005,3/1/05,935,841,,94,,,,
WAHKIAKUM,Initial claims,3,2005,3/1/05,21,12,,9,,,,
WALLA WALLA,Initial claims,3,2005,3/1/05,195,165,,30,,,,
WHATCOM,Initial claims,3,2005,3/1/05,728,726,,2,,,,
WHITMAN,Initial claims,3,2005,3/1/05,67,58,,9,,,,
YAKIMA,Initial claims,3,2005,3/1/05,1828,1629,,199,,,,
WASHINGTON STATE,Initial claims,3,2005,3/1/05,37178,35038,,2140,,,,
WASHINGTON STATE,Continued claims,3,2005,3/1/05,73950,80418,,-6468,,,,
ADAMS,Continued claims,4,2005,4/1/05,233,326,,-93,,,,
ASOTIN,Continued claims,4,2005,4/1/05,162,188,,-26,,,,
BENTON,Continued claims,4,2005,4/1/05,1669,1689,,-20,,,,
CHELAN,Continued claims,4,2005,4/1/05,1463,1468,,-5,,,,
CLALLAM,Continued claims,4,2005,4/1/05,711,751,,-40,,,,
CLARK,Continued claims,4,2005,4/1/05,3271,3398,,-127,,,,
COLUMBIA,Continued claims,4,2005,4/1/05,55,59,,-4,,,,
COWLITZ,Continued claims,4,2005,4/1/05,1249,1313,,-64,,,,
DOUGLAS,Continued claims,4,2005,4/1/05,618,614,,4,,,,
FERRY,Continued claims,4,2005,4/1/05,125,161,,-36,,,,
FRANKLIN,Continued claims,4,2005,4/1/05,1083,1056,,27,,,,
GARFIELD,Continued claims,4,2005,4/1/05,13,19,,-6,,,,
GRANT,Continued claims,4,2005,4/1/05,1298,1646,,-348,,,,
GRAYS HARBOR,Continued claims,4,2005,4/1/05,1219,1224,,-5,,,,
ISLAND,Continued claims,4,2005,4/1/05,464,489,,-25,,,,
JEFFERSON,Continued claims,4,2005,4/1/05,240,258,,-18,,,,
KING,Continued claims,4,2005,4/1/05,18179,18572,,-393,,,,
KITSAP,Continued claims,4,2005,4/1/05,1741,1852,,-111,,,,
KITTITAS,Continued claims,4,2005,4/1/05,463,557,,-94,,,,
KLICKITAT,Continued claims,4,2005,4/1/05,317,350,,-33,,,,
LEWIS,Continued claims,4,2005,4/1/05,1087,1114,,-27,,,,
LINCOLN,Continued claims,4,2005,4/1/05,83,95,,-12,,,,
MASON,Continued claims,4,2005,4/1/05,549,608,,-59,,,,
OKANOGAN,Continued claims,4,2005,4/1/05,799,935,,-136,,,,
PACIFIC,Continued claims,4,2005,4/1/05,264,257,,7,,,,
PEND OREILLE,Continued claims,4,2005,4/1/05,158,189,,-31,,,,
PIERCE,Continued claims,4,2005,4/1/05,8317,8482,,-165,,,,
SAN JUAN,Continued claims,4,2005,4/1/05,100,118,,-18,,,,
SKAGIT,Continued claims,4,2005,4/1/05,1408,1513,,-105,,,,
SKAMANIA,Continued claims,4,2005,4/1/05,141,167,,-26,,,,
SNOHOMISH,Continued claims,4,2005,4/1/05,7345,7720,,-375,,,,
SPOKANE,Continued claims,4,2005,4/1/05,4584,5469,,-885,,,,
STEVENS,Continued claims,4,2005,4/1/05,726,848,,-122,,,,
THURSTON,Continued claims,4,2005,4/1/05,2183,2257,,-74,,,,
WAHKIAKUM,Continued claims,4,2005,4/1/05,39,36,,3,,,,
WALLA WALLA,Continued claims,4,2005,4/1/05,590,703,,-113,,,,
WHATCOM,Continued claims,4,2005,4/1/05,1801,2069,,-268,,,,
WHITMAN,Continued claims,4,2005,4/1/05,147,167,,-20,,,,
YAKIMA,Continued claims,4,2005,4/1/05,4969,5210,,-241,,,,
ADAMS,Initial claims,4,2005,4/1/05,97,84,,13,,,,
ASOTIN,Initial claims,4,2005,4/1/05,56,72,,-16,,,,
BENTON,Initial claims,4,2005,4/1/05,993,626,,367,,,,
CHELAN,Initial claims,4,2005,4/1/05,664,544,,120,,,,
CLALLAM,Initial claims,4,2005,4/1/05,282,286,,-4,,,,
CLARK,Initial claims,4,2005,4/1/05,1341,1294,,47,,,,
COLUMBIA,Initial claims,4,2005,4/1/05,14,16,,-2,,,,
COWLITZ,Initial claims,4,2005,4/1/05,545,587,,-42,,,,
DOUGLAS,Initial claims,4,2005,4/1/05,249,204,,45,,,,
FERRY,Initial claims,4,2005,4/1/05,34,48,,-14,,,,
FRANKLIN,Initial claims,4,2005,4/1/05,588,324,,264,,,,
GARFIELD,Initial claims,4,2005,4/1/05,3,4,,-1,,,,
GRANT,Initial claims,4,2005,4/1/05,449,424,,25,,,,
GRAYS HARBOR,Initial claims,4,2005,4/1/05,515,582,,-67,,,,
ISLAND,Initial claims,4,2005,4/1/05,221,200,,21,,,,
JEFFERSON,Initial claims,4,2005,4/1/05,109,88,,21,,,,
KING,Initial claims,4,2005,4/1/05,6844,6902,,-58,,,,
KITSAP,Initial claims,4,2005,4/1/05,758,755,,3,,,,
KITTITAS,Initial claims,4,2005,4/1/05,149,154,,-5,,,,
KLICKITAT,Initial claims,4,2005,4/1/05,120,120,,0,,,,
LEWIS,Initial claims,4,2005,4/1/05,438,409,,29,,,,
LINCOLN,Initial claims,4,2005,4/1/05,34,33,,1,,,,
MASON,Initial claims,4,2005,4/1/05,247,220,,27,,,,
OKANOGAN,Initial claims,4,2005,4/1/05,316,321,,-5,,,,
PACIFIC,Initial claims,4,2005,4/1/05,108,127,,-19,,,,
PEND OREILLE,Initial claims,4,2005,4/1/05,41,57,,-16,,,,
PIERCE,Initial claims,4,2005,4/1/05,3474,3570,,-96,,,,
SAN JUAN,Initial claims,4,2005,4/1/05,33,32,,1,,,,
SKAGIT,Initial claims,4,2005,4/1/05,592,592,,0,,,,
SKAMANIA,Initial claims,4,2005,4/1/05,56,55,,1,,,,
SNOHOMISH,Initial claims,4,2005,4/1/05,2834,2935,,-101,,,,
SPOKANE,Initial claims,4,2005,4/1/05,1845,1745,,100,,,,
STEVENS,Initial claims,4,2005,4/1/05,226,286,,-60,,,,
THURSTON,Initial claims,4,2005,4/1/05,963,935,,28,,,,
WAHKIAKUM,Initial claims,4,2005,4/1/05,10,21,,-11,,,,
WALLA WALLA,Initial claims,4,2005,4/1/05,188,195,,-7,,,,
WHATCOM,Initial claims,4,2005,4/1/05,733,728,,5,,,,
WHITMAN,Initial claims,4,2005,4/1/05,63,67,,-4,,,,
YAKIMA,Initial claims,4,2005,4/1/05,1949,1828,,121,,,,
WASHINGTON STATE,Initial claims,4,2005,4/1/05,37304,37178,,126,,,,
WASHINGTON STATE,Continued claims,4,2005,4/1/05,69864,73950,,-4086,,,,
ADAMS,Continued claims,5,2005,5/1/05,209,233,,-24,,,,
ASOTIN,Continued claims,5,2005,5/1/05,159,162,,-3,,,,
BENTON,Continued claims,5,2005,5/1/05,1795,1669,,126,,,,
CHELAN,Continued claims,5,2005,5/1/05,1396,1463,,-67,,,,
CLALLAM,Continued claims,5,2005,5/1/05,619,711,,-92,,,,
CLARK,Continued claims,5,2005,5/1/05,2982,3271,,-289,,,,
COLUMBIA,Continued claims,5,2005,5/1/05,33,55,,-22,,,,
COWLITZ,Continued claims,5,2005,5/1/05,1134,1249,,-115,,,,
DOUGLAS,Continued claims,5,2005,5/1/05,564,618,,-54,,,,
FERRY,Continued claims,5,2005,5/1/05,106,125,,-19,,,,
FRANKLIN,Continued claims,5,2005,5/1/05,1036,1083,,-47,,,,
GARFIELD,Continued claims,5,2005,5/1/05,17,13,,4,,,,
GRANT,Continued claims,5,2005,5/1/05,1159,1298,,-139,,,,
GRAYS HARBOR,Continued claims,5,2005,5/1/05,1085,1219,,-134,,,,
ISLAND,Continued claims,5,2005,5/1/05,497,464,,33,,,,
JEFFERSON,Continued claims,5,2005,5/1/05,219,240,,-21,,,,
KING,Continued claims,5,2005,5/1/05,17578,18179,,-601,,,,
KITSAP,Continued claims,5,2005,5/1/05,1737,1741,,-4,,,,
KITTITAS,Continued claims,5,2005,5/1/05,402,463,,-61,,,,
KLICKITAT,Continued claims,5,2005,5/1/05,310,317,,-7,,,,
LEWIS,Continued claims,5,2005,5/1/05,935,1087,,-152,,,,
LINCOLN,Continued claims,5,2005,5/1/05,64,83,,-19,,,,
MASON,Continued claims,5,2005,5/1/05,511,549,,-38,,,,
OKANOGAN,Continued claims,5,2005,5/1/05,661,799,,-138,,,,
PACIFIC,Continued claims,5,2005,5/1/05,236,264,,-28,,,,
PEND OREILLE,Continued claims,5,2005,5/1/05,109,158,,-49,,,,
PIERCE,Continued claims,5,2005,5/1/05,7711,8317,,-606,,,,
SAN JUAN,Continued claims,5,2005,5/1/05,78,100,,-22,,,,
SKAGIT,Continued claims,5,2005,5/1/05,1317,1408,,-91,,,,
SKAMANIA,Continued claims,5,2005,5/1/05,124,141,,-17,,,,
SNOHOMISH,Continued claims,5,2005,5/1/05,6856,7345,,-489,,,,
SPOKANE,Continued claims,5,2005,5/1/05,3923,4584,,-661,,,,
STEVENS,Continued claims,5,2005,5/1/05,522,726,,-204,,,,
THURSTON,Continued claims,5,2005,5/1/05,2000,2183,,-183,,,,
WAHKIAKUM,Continued claims,5,2005,5/1/05,34,39,,-5,,,,
WALLA WALLA,Continued claims,5,2005,5/1/05,397,590,,-193,,,,
WHATCOM,Continued claims,5,2005,5/1/05,1731,1801,,-70,,,,
WHITMAN,Continued claims,5,2005,5/1/05,126,147,,-21,,,,
YAKIMA,Continued claims,5,2005,5/1/05,4411,4969,,-558,,,,
ADAMS,Initial claims,5,2005,5/1/05,124,97,,27,,,,
ASOTIN,Initial claims,5,2005,5/1/05,89,56,,33,,,,
BENTON,Initial claims,5,2005,5/1/05,731,993,,-262,,,,
CHELAN,Initial claims,5,2005,5/1/05,611,664,,-53,,,,
CLALLAM,Initial claims,5,2005,5/1/05,271,282,,-11,,,,
CLARK,Initial claims,5,2005,5/1/05,1297,1341,,-44,,,,
COLUMBIA,Initial claims,5,2005,5/1/05,10,14,,-4,,,,
COWLITZ,Initial claims,5,2005,5/1/05,592,545,,47,,,,
DOUGLAS,Initial claims,5,2005,5/1/05,245,249,,-4,,,,
FERRY,Initial claims,5,2005,5/1/05,29,34,,-5,,,,
FRANKLIN,Initial claims,5,2005,5/1/05,468,588,,-120,,,,
GARFIELD,Initial claims,5,2005,5/1/05,7,3,,4,,,,
GRANT,Initial claims,5,2005,5/1/05,490,449,,41,,,,
GRAYS HARBOR,Initial claims,5,2005,5/1/05,531,515,,16,,,,
ISLAND,Initial claims,5,2005,5/1/05,256,221,,35,,,,
JEFFERSON,Initial claims,5,2005,5/1/05,93,109,,-16,,,,
KING,Initial claims,5,2005,5/1/05,6165,6844,,-679,,,,
KITSAP,Initial claims,5,2005,5/1/05,748,758,,-10,,,,
KITTITAS,Initial claims,5,2005,5/1/05,139,149,,-10,,,,
KLICKITAT,Initial claims,5,2005,5/1/05,140,120,,20,,,,
LEWIS,Initial claims,5,2005,5/1/05,478,438,,40,,,,
LINCOLN,Initial claims,5,2005,5/1/05,27,34,,-7,,,,
MASON,Initial claims,5,2005,5/1/05,246,247,,-1,,,,
OKANOGAN,Initial claims,5,2005,5/1/05,261,316,,-55,,,,
PACIFIC,Initial claims,5,2005,5/1/05,113,108,,5,,,,
PEND OREILLE,Initial claims,5,2005,5/1/05,30,41,,-11,,,,
PIERCE,Initial claims,5,2005,5/1/05,3294,3474,,-180,,,,
SAN JUAN,Initial claims,5,2005,5/1/05,25,33,,-8,,,,
SKAGIT,Initial claims,5,2005,5/1/05,588,592,,-4,,,,
